#(
#(    nu nubar Z
#(
#  SET ORDER X 2. Y 1.E+03
     100.0     0.14103E-01
     250.0     0.23612
     500.0     0.70385
     750.0     1.0618
    1000.      1.3408
    2500.      2.3189
#   JOIN
#(
#
