350.0 0.0035247853 2.88e-06
360.0 0.013516421 1.12e-05
370.0 0.026875273 2.27e-05
380.0 0.041685004 3.54e-05
390.0 0.056652321 4.85e-05
400.0 0.071138013 6.26e-05
410.0 0.084709037 7.61e-05
420.0 0.097147882 8.53e-05
430.0 0.10842732 9.97e-05
440.0 0.1184605 0.000106
450.0 0.12721396 0.000116
460.0 0.13502734 0.000124
470.0 0.14198913 0.00013
480.0 0.14750443 0.000135
490.0 0.15241511 0.000146
500.0 0.15632979 0.000152
510.0 0.15985329 0.000152
520.0 0.162576 0.00016
530.0 0.16485277 0.000159
540.0 0.16691265 0.000161
550.0 0.16829535 0.000166
560.0 0.16853016 0.000172
570.0 0.16987978 0.000173
580.0 0.17009374 0.000172
590.0 0.17043844 0.000174
600.0 0.16993952 0.000177
610.0 0.16979202 0.000171
620.0 0.16922859 0.000174
630.0 0.16865473 0.000172
640.0 0.16778357 0.000178
650.0 0.16678488 0.000173
660.0 0.16593221 0.000174
670.0 0.16461041 0.000175
680.0 0.16342455 0.000175
690.0 0.16231966 0.000174
700.0 0.16078245 0.000184
710.0 0.15933904 0.000176
720.0 0.158209 0.00017
730.0 0.15707968 0.000169
740.0 0.15538665 0.000171
750.0 0.15430048 0.000168
760.0 0.15284277 0.000169
770.0 0.15141255 0.000167
780.0 0.14947816 0.000166
790.0 0.14805179 0.000167
800.0 0.1468236 0.000167
810.0 0.14500419 0.000169
820.0 0.14398268 0.000164
830.0 0.14229973 0.000165
840.0 0.14063091 0.000165
850.0 0.13957614 0.000156
860.0 0.13795211 0.000158
870.0 0.13666008 0.000159
880.0 0.13530652 0.000158
890.0 0.13409034 0.000156
900.0 0.13263193 0.000165
910.0 0.13124673 0.00016
920.0 0.12985925 0.000158
930.0 0.12872241 0.000155
940.0 0.1276291 0.000159
950.0 0.12592665 0.000154
960.0 0.12495601 0.000153
970.0 0.1236341 0.000151
980.0 0.12222175 0.000149
990.0 0.12095245 0.000155
1000.0 0.11989537 0.000151
1010.0 0.11888939 0.000152
1020.0 0.11772752 0.000147
1030.0 0.11618813 0.000153
1040.0 0.11507752 0.000151
1050.0 0.11401734 0.000148
1060.0 0.11312805 0.000146
1070.0 0.111949 0.000145
1080.0 0.11101252 0.000147
1090.0 0.1099107 0.000147
1100.0 0.10901504 0.000144
